what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1299051556937
locale,sysinfo,,,"zh_CN",1299051556937
processors,sysinfo,,,"4",1299051556937
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1299051556937
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1299051556937
java.specification.name,sysinfo,,,"Java Platform API Specification",1299051556937
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299051556937
java.specification.version,sysinfo,,,"1.6",1299051556937
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1299051556937
java.version,sysinfo,,,"1.6.0_14",1299051556937
java.vm.info,sysinfo,,,"mixed mode",1299051556937
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1299051556937
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1299051556937
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299051556937
java.vm.specification.version,sysinfo,,,"1.0",1299051556937
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1299051556937
java.vm.version,sysinfo,,,"14.0-b16",1299051556937
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1299051556968
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1299051557046
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1299051557093
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1299051557296
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1299051557468
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1299051557484
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1299051557812
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1299051557843
