what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_14",1299051628046
java.vm.info,sysinfo,,,"mixed mode",1299051628046
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1299051628046
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1299051628046
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299051628046
java.vm.specification.version,sysinfo,,,"1.0",1299051628046
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1299051628046
java.vm.version,sysinfo,,,"14.0-b16",1299051628046
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299051639125
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1299051640250
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1299051640546
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1299051645328
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1299051652093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299051652203
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1299051652875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299051653000
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1299051653015
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1299051653015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299051654781
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299051655406
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1299051655406
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1299051655406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299051667343
started,bundle,com.altera.sbtgui.ui,10.1.0.153,"com.altera.sbtgui.ui",1299051669437
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299051671406
